State,Forest,Year,SPBt,Spotst-1,Spotst-2,Cleridst-1,"Cleridst-1, filled in",Endo-brevicomin (1=yes),Probability of any SPB spots,Approximate spots to expect if there are spots,P(>50 spots),P(>150 spots),P(>400 spots),P(>1000 spots),P(>3000 spots)
FL,Washington Co.,2018,0.4,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Appling Co.,2018,5.6,0,0,,,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
GA,Atkinson Co.,2018,5.6,0,0,,,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
GA,Baldwin Co.,2018,65.8,0,0,,,1,0.11,6.00,0.02,0.01,0.00,0.00,0.00
GA,Barrow Co.,2018,120.4,0,0,,,1,0.15,7.00,0.03,0.01,0.00,0.00,0.00
GA,Bartow Co.,2018,915.6,43,0,,,1,0.77,44.00,0.41,0.26,0.14,0.07,0.03
GA,Bulloch Co.,2018,1.4,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Camden Co.,2018,92.4,0,1,,,1,0.14,7.00,0.02,0.01,0.00,0.00,0.00
GA,Carroll Co.,2018,133.0,0,0,,,1,0.15,7.00,0.03,0.01,0.00,0.00,0.00
GA,Chattooga River R.D.,2018,816.0,3,0,109.2,109.2,1,0.47,17.00,0.16,0.08,0.04,0.01,0.00
GA,Clarke Co.,2018,116.2,0,0,,,1,0.14,7.00,0.03,0.01,0.00,0.00,0.00
GA,Clay Co.,2018,116.2,0,0,,,1,0.14,7.00,0.03,0.01,0.00,0.00,0.00
GA,Conasauga R.D.,2018,10.8,2,0,78.4,78.4,1,0.09,6.00,0.01,0.01,0.00,0.00,0.00
GA,Dodge Co.,2018,1.4,3,0,49.0,49.0,1,0.09,6.00,0.01,0.00,0.00,0.00,0.00
GA,Ft Stewart Army Base,2018,119,7,1,60,60,1,0.37,13.00,0.11,0.05,0.02,0.01,0.00
GA,Gilmer Co.,2018,151.2,0,0,,,1,0.16,7.00,0.03,0.01,0.00,0.00,0.00
GA,Habersham Co.,2018,0.0,0,0,47.6,47.6,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson Co.,2018,30.8,9,0,,,1,0.22,10.00,0.05,0.02,0.01,0.00,0.00
GA,Harris Co.,2018,4.2,1,0,43.4,43.4,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
GA,Jackson Co.,2018,0.0,0,0,16.8,16.8,1,0.05,5.00,0.01,0.00,0.00,0.00,0.00
GA,Jefferson Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Jenkins Co.,2018,1.4,3,0,,,1,0.08,6.00,0.01,0.00,0.00,0.00,0.00
GA,Marion Co.,2018,12.6,0,0,,,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
GA,Mcduffie Co.,2018,11.2,0,0,,,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
GA,Mcintosh Co.,2018,84.0,9,50,,,1,0.46,12.00,0.13,0.06,0.02,0.01,0.00
GA,Morgan Co.,2018,530.6,0,0,235.2,235.2,1,0.22,9.00,0.05,0.02,0.01,0.00,0.00
GA,Murray Co.,2018,85.4,0,0,14.0,14.0,1,0.18,8.00,0.04,0.01,0.01,0.00,0.00
GA,Muscogee Co.,2018,0.0,0,0,22.4,22.4,1,0.05,5.00,0.01,0.00,0.00,0.00,0.00
GA,Oconee R.D.,2018,774,807,16,346,346,1,0.93,110.00,0.65,0.48,0.31,0.18,0.10
GA,Oglethorpe Co.,2018,256.2,19,0,,,1,0.53,21.00,0.21,0.11,0.05,0.02,0.01
GA,Quitman Co.,2018,158.2,0,0,,,1,0.16,8.00,0.03,0.01,0.00,0.00,0.00
GA,Randolph Co.,2018,148.4,1,0,,,1,0.21,9.00,0.05,0.02,0.01,0.00,0.00
GA,Screven Co.,2018,2.8,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Stephens Co.,2018,100.8,0,0,9.8,9.8,1,0.21,9.00,0.05,0.02,0.01,0.00,0.00
GA,Stewart Co.,2018,260.4,0,0,,,1,0.20,8.00,0.04,0.02,0.01,0.00,0.00
GA,Talbot Co.,2018,1.4,0,0,14,14,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
GA,Upson Co.,2018,0.0,0,0,11.2,11.2,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
GA,Walton Co.,2018,42.0,0,0,126,126,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
GA,Webster,2018,35.0,0,0,,,1,0.08,6.00,0.01,0.00,0.00,0.00,0.00
GA,Wilcox,2018,1.4,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
GA,Wilkes,2018,9.8,23,0,,,1,0.23,10.00,0.06,0.02,0.01,0.00,0.00
LA,Allen Pa.,2018,5,0,0,3,3,0,0.20,8.00,0.04,0.02,0.01,0.00,0.00
LA,Bossier Pa.,2018,0,0,0,27,27,0,0.05,4.00,0.01,0.00,0.00,0.00,0.00
LA,Calcasieu R.D.,2018,2,0,0,11,11,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
LA,Caldwell Pa.,2018,7,0,0,31,31,0,0.14,7.00,0.03,0.01,0.00,0.00,0.00
LA,Catahoula R.D.,2018,53,0,0,49,49,1,0.11,6.00,0.02,0.01,0.00,0.00,0.00
LA,Claiborne Pa.,2018,0,0,0,56,56,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
LA,De Soto Pa.,2018,0,0,0,6,6,0,0.07,5.00,0.01,0.00,0.00,0.00,0.00
LA,East Feliciana Pa.,2018,748,8,0,7,7,0,0.90,86.00,0.59,0.42,0.26,0.15,0.08
LA,Jackson Pa.,2018,0,0,0,35,35,0,0.05,4.00,0.00,0.00,0.00,0.00,0.00
LA,Kisatchie R.D.,2018,0,0,0,158,158,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
LA,La Salle Pa.,2018,86,0,0,11,11,0,0.45,15.00,0.15,0.07,0.03,0.01,0.00
LA,Lincoln Pa.,2018,0,0,0,11,11,0,0.06,5.00,0.01,0.00,0.00,0.00,0.00
LA,Red River Pa.,2018,0,0,0,53,53,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
LA,Sabine Pa.,2018,0,0,0,6,6,0,0.07,5.00,0.01,0.00,0.00,0.00,0.00
LA,St. Tammany Pa.,2018,7,0,0,11,11,0,0.18,8.00,0.04,0.01,0.00,0.00,0.00
LA,Union Pa.,2018,1,0,0,74,74,0,0.06,5.00,0.01,0.00,0.00,0.00,0.00
LA,West Feliciana Pa.,2018,1973,13,0,32,32,0,0.93,121.00,0.66,0.49,0.33,0.20,0.11
LA   ,Beauregard Pa.,2018,0.0,0,0,1.4,1.4,0,0.09,6.00,0.01,0.00,0.00,0.00,0.00
LA   ,Bienville Pa.,2018,0.0,0,0,84.0,84.0,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
LA   ,Caddo Pa.,2018,0.0,0,0,19.6,19.6,0,0.05,5.00,0.01,0.00,0.00,0.00,0.00
LA   ,Calcasieu Pa.,2018,0.0,0,0,5.6,5.6,0,0.07,5.00,0.01,0.00,0.00,0.00,0.00
LA   ,Caney RD,2018,0.0,0,0,40.6,40.6,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
LA   ,Evangeline Pa.,2018,8.2,0,0,,,0,0.12,6.00,0.02,0.01,0.00,0.00,0.00
LA   ,Natchitoches Pa.,2018,0.0,0,0,28,28,0,0.05,4.00,0.01,0.00,0.00,0.00,0.00
LA   ,Rapides Pa.,2018,7.5,0,0,7,7,0,0.20,8.00,0.04,0.02,0.01,0.00,0.00
LA   ,Vernon Pa.,2018,0.0,0,0,4.2,4.2,0,0.08,5.00,0.01,0.00,0.00,0.00,0.00
LA   ,Washington Pa.,2018,13.3,1,0,,,0,0.20,9.00,0.04,0.02,0.01,0.00,0.00
MS,Amite Co.,2018,400.1,140,31,149.8,149.8,1,0.84,45.00,0.46,0.29,0.16,0.08,0.04
